Nummer;Klas;Tekstnaam;Veld;Code;Veldnummer;Verbandnummer;Dataset
4229;A2B;Beton;betonnen gebouwen worden gemaakt;c;1;0;Veni
4301;havo4;Beton;warmte zorgt ervoor dat beton vervormt;c;1;0;Veni
4303;havo4;Beton;gebouwen worden veel gebouwd van beton;c;1;0;Veni
4317;havo4;Beton;beton wordt steeds vaker in de bouw gebruikt;c;1;0;Veni
4402;2V2A;Beton;beton word heet;c;1;0;Veni
4405;2V2A;Beton;gebouwen gemaakt van beto, beton wordt aangetast door warmte;c;1;0;Veni
4409;2V2A;Beton;beton wordt gebruikt om gebouwen mee te bouwen;c;1;0;Veni
4410;2V2A;Beton;beton wordt gebruikt om gebouwen mee te bouwen;c;1;0;Veni
4411;2V2A;Beton;gebouwen gemaakt van beton;c;1;0;Veni
4717;V2BGS;Beton;er wordt veel beton gebruikt bij het bouwen van huizen;c;1;0;Veni
4718;V2BGS;Beton;er worden gebouwen gebouwd met beton;c;1;0;Veni
4720;V2BGS;Beton;veel betonnen gebouwen;c;1;0;Veni
4722;V2BGS;Beton;beton testen of het geschikt is voor de bouw van gebouwen;c;1;0;Veni
4806;p2vb;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
4808;p2vb;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
4810;p2vb;Beton;in betonnen gebouwen wordt beton gebruikt;c;1;0;Veni
4813;p2vb;Beton;beton wordt veel gebruikt voor grote gebouwen;c;1;0;Veni
4814;p2vb;Beton;veel gebouwen van beton;c;1;0;Veni
4815;p2vb;Beton;beton wordt veel gebruikt;c;1;0;Veni
4819;p2vb;Beton;er worden veel betonnen gebouwen gemaakt;c;1;0;Veni
4822;p2vb;Beton;veel gebouwen worden van beton gemaakt;c;1;0;Veni
5103;A4;Beton;gebouwen worden gebouwd;c;1;0;Veni
5106;A4;Beton;slecht beton kan worden gebruikt bij de constructie;c;1;0;Veni
5109;A4;Beton;gebouw gemaakt van beton;c;1;0;Veni
5201;5vwo ;Beton;beton is een materiaal dat gevoelig is voor warmte;c;1;0;Veni
5207;5vwo ;Beton;beton veel gebruikt bouwmateriaal;c;1;0;Veni
5208;5vwo ;Beton;bouwen van betonnen gebouwen;c;1;0;Veni
5213;5vwo ;Beton;beton kan barsten bij bepaalde temperaturen;c;1;0;Veni
5214;5vwo ;Beton;in de oude gebouwen is vaak beton gebruikt;c;1;0;Veni
5504;5VWO;Beton;mensen willen wel dat het warm genoeg blijft in gebouwen;c;1;0;Veni
5518;5VWO;Beton;beton is een zacht bouw materiaal;c;1;0;Veni
5523;5VWO;Beton;veel gebouwen worden met behulp van beton gebouwd;c;1;0;Veni
5601;2M;Beton;beton veel gebruikt bouwmateriaal;c;1;0;Veni
5602;2M;Beton;beton;c;1;0;Veni
5605;2M;Beton;veel gebouwen worden gebouwd met beton;c;1;0;Veni
5607;2M;Beton;beton;c;1;0;Veni
5608;2M;Beton;veel gebouwen worden van beton gemaakt;c;1;0;Veni
5613;2M;Beton;beton moet een keurmerk hebben;c;1;0;Veni
5617;2M;Beton;huizen worden van beton gemaakt;c;1;0;Veni
6006;h4a;Beton;beton is nogsteeds een veel gebruikt bouw materiaal;c;1;0;Veni
6015;h4a;Beton;bouwen met beton;c;1;0;Veni
6023;h4a;Beton;gebouwen worden vaak met beton gemaakt;c;1;0;Veni
6025;h4a;Beton;warm droog weer;c;1;0;Veni
105;1;Beton;beton veel gebruikt in bouw van flats;c;2;0;Veni
112;1;Beton;als het warm wordt;c;2;0;Veni
202;2;Beton;in N.I. vanaf  1962 speciale licentie voor vertrouwbare beton levering;c;2;0;Veni
304;3;Beton;ging het beton op langere termijn verslechteren;c;2;0;Veni
313;3;Beton;het beton zet zich uit;c;2;0;Veni
409;4;Beton;warmte;c;2;0;Veni
424;4;Beton;certificaat nodig;c;2;0;Veni
522;5;Beton;wordt het vaak gebruikt bij het bouwen van gebouwen;c;2;0;Veni
601;6;Beton;beton zet uit als warm is;c;2;0;Veni
719;7;Beton;slecht geïnstalleerde warmte installatie;c;2;0;Veni
812;8;Beton;gaan er mensen in leven / werken;c;2;0;Veni
821;8;Beton;hoeven ze geen nieuwe te bouwen;c;2;0;Veni
912;9;Beton;krimpt het beton;c;2;0;Veni
921;9;Beton;de liften met beton zetten 12 cm uit;c;2;0;Veni
925;9;Beton;moet beton een certificaat hebben voordat er gebouwd mee mag worden;c;2;0;Veni
1005;10;Beton;veel gebouwen worden met beto gebouwd;c;2;0;Veni
1008;10;Beton;als het warm wordt;c;2;0;Veni
1101;11;Beton;beton wordt vochtig ;c;2;0;Veni
1102;11;Beton;moeten ze dit regelmatig vervangen;c;2;0;Veni
1108;11;Beton;gebouw van gemaakt;c;2;0;Veni
1203;12;Beton;verandert beton in massa;c;2;0;Veni
1208;12;Beton;er ontstaat beton-krimp bij bepaald weer;c;2;0;Veni
1306;13;Beton;moet het sinds 1952 aan een bepaald certificaat voldoen;c;2;0;Veni
1314;13;Beton;het beton waarvan het gebouwd is word warm;c;2;0;Veni
1404;14;Beton;beton warm;c;2;0;Veni
1419;14;Beton;vee huizen worden gebouwt met beton;c;2;0;Veni
1501;15;Beton;moet het getest worden;c;2;0;Veni
1519;15;Beton;kunnen er in het beton scheuren gaan komen;c;2;0;Veni
1606;16;Beton;wordt het beton verwarmt;c;2;0;Veni
1608;16;Beton;wordt er goed omgegaan met beton en verwarming;c;2;0;Veni
1701;17;Beton;zet het uit als er veel wordt gestoken;c;2;0;Veni
1703;17;Beton;zijn er steeds meer betonnen gebouwen;c;2;0;Veni
1713;17;Beton;komen in de kreukels;c;2;0;Veni
